   0.0000000000000000      ( -87.769241857834757     , -13.431072241923182     )
  0.50000000000000000      ( -87.644914139493849     , -13.432031736567442     )
   1.0000000000000000      ( -87.237207577825302     , -13.435569506563688     )
   1.5000000000000000      ( -86.424411437427921     , -13.444161830770723     )
   2.0000000000000000      ( -84.888067068426636     , -13.464184000836484     )
   2.5000000000000000      ( -82.073960645140389     , -13.508925582199620     )
   3.0000000000000000      ( -77.165205736319038     , -13.599115935746749     )
   3.5000000000000000      ( -69.265842599721367     , -13.734802294722547     )
   4.0000000000000000      ( -58.012022108853323     , -13.759547357215091     )
   4.5000000000000000      ( -44.379186654109120     , -13.111960815002144     )
   5.0000000000000000      ( -30.685364120640894     , -11.037920446404460     )
   5.5000000000000000      ( -19.285974061760562     , -7.6919828149581919     )
   6.0000000000000000      ( -11.230550571614964     , -4.3795022689247762     )
   6.5000000000000000      ( -6.2038504366031750     , -2.1276927539248400     )
   7.0000000000000000      ( -3.3174106619454142     ,-0.94075655029784666     )
   7.5000000000000000      ( -1.7412695346032161     ,-0.39744282374769502     )
   8.0000000000000000      (-0.90474034376564483     ,-0.16469571900667676     )
   8.5000000000000000      (-0.46755233157032727     , -6.7746972454998958E-002)
   9.0000000000000000      (-0.24093193164785254     , -2.7803554348093798E-002)
   9.5000000000000000      (-0.12396596986782620     , -1.1408339768631537E-002)
   10.000000000000000      ( -6.3732544695010898E-002, -4.6841009760834832E-003)
   10.500000000000000      ( -3.2751463835367534E-002, -1.9251283534239651E-003)
   11.000000000000000      ( -1.6826529106736349E-002, -7.9209803532671332E-004)
   11.500000000000000      ( -8.6436428327310248E-003, -3.2628837478683497E-004)
   12.000000000000000      ( -4.4397758836625971E-003, -1.3456391303885872E-004)
   12.500000000000000      ( -2.2803423745107283E-003, -5.5558850462588881E-005)
   13.000000000000000      ( -1.1711729850424392E-003, -2.2964925035703902E-005)
   13.500000000000000      ( -6.0148977456033728E-004, -9.5027945949260827E-006)
   14.000000000000000      ( -3.0890454833247636E-004, -3.9363912939199707E-006)
   14.500000000000000      ( -1.5863936602493453E-004, -1.6322662010191113E-006)
   15.000000000000000      ( -8.1468456776420006E-005, -6.7750746679858632E-007)
   15.500000000000000      ( -4.1837028064039895E-005, -2.8148268639496284E-007)
   16.000000000000000      ( -2.1484523942980588E-005, -1.1705437085886415E-007)
   16.500000000000000      ( -1.1032777118725306E-005, -4.8719813245681263E-008)
   17.000000000000000      ( -5.6655058370197732E-006, -2.0295009855700718E-008)
   17.500000000000000      ( -2.9092948534208006E-006, -8.4610114918792213E-009)
   18.000000000000000      ( -1.4939373799196609E-006, -3.5301121918896027E-009)
   18.500000000000000      ( -7.6713715440683778E-007, -1.4739134949987053E-009)
   19.000000000000000      ( -3.9392172174966383E-007, -6.1582468578824040E-010)
   19.500000000000000      ( -2.0227556254667989E-007, -2.5747110567060742E-010)
   20.000000000000000      ( -1.0386607963529305E-007, -1.0771378727844064E-010)
